day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
13,3,0,-1.6,0.3,0.8,0.48,0.348,0.381,0.347,0.362,0.341,0.375,0.567,0.528,0.547,0.554,0.412,0.453,0.455,0.452,0.473,0.465,0.47,0.643,0.633,0.589,0.626,0.391,0.417,0.421
14,4,0,-0.7,0.6,0.32,0.73,0.351,0.301,0.358,0.321,0.357,0.32,0.519,0.509,0.494,0.516,0.407,0.416,0.398,0.396,0.375,0.423,0.422,0.516,0.536,0.526,0.494,0.393,0.346,0.368
15,5,0,0.8,0.1,0.9,0.67,0.255,0.256,0.264,0.269,0.232,0.254,0.354,0.349,0.371,0.351,0.32,0.304,0.298,0.288,0.278,0.334,0.33,0.394,0.412,0.414,0.39,0.227,0.287,0.256
16,6,1,2.1,0.1,0.52,0.63,0.278,0.291,0.315,0.305,0.332,0.3,0.47,0.458,0.461,0.438,0.38,0.381,0.359,0.376,0.365,0.37,0.364,0.471,0.486,0.504,0.517,0.355,0.345,0.341
17,7,1,-1.1,0.3,0.59,0.64,0.237,0.27,0.234,0.196,0.202,0.259,0.363,0.33,0.386,0.367,0.305,0.341,0.319,0.312,0.295,0.302,0.33,0.393,0.369,0.402,0.406,0.274,0.272,0.288
18,1,0,-1.2,0.3,0.17,0.86,0.239,0.292,0.271,0.278,0.276,0.246,0.396,0.367,0.435,0.395,0.317,0.376,0.311,0.339,0.367,0.322,0.363,0.434,0.482,0.459,0.441,0.296,0.288,0.321
19,2,0,0.1,0.5,0.31,0.78,0.244,0.252,0.244,0.249,0.239,0.213,0.386,0.376,0.352,0.388,0.313,0.309,0.316,0.352,0.344,0.34,0.278,0.39,0.437,0.422,0.41,0.296,0.297,0.263
20,3,0,5.4,0.0,0.29,0.78,0.304,0.352,0.331,0.347,0.31,0.307,0.485,0.457,0.499,0.5,0.419,0.399,0.425,0.41,0.377,0.394,0.417,0.51,0.548,0.532,0.511,0.355,0.366,0.359
21,4,0,1.4,0.8,0.73,0.73,0.395,0.404,0.41,0.355,0.398,0.406,0.558,0.61,0.622,0.597,0.491,0.498,0.515,0.488,0.498,0.486,0.507,0.655,0.658,0.624,0.659,0.452,0.449,0.461
22,5,0,-1.1,1.4,0.59,0.58,0.405,0.389,0.401,0.386,0.4,0.397,0.617,0.588,0.595,0.563,0.474,0.491,0.506,0.482,0.493,0.511,0.493,0.608,0.649,0.657,0.621,0.431,0.465,0.432
23,6,1,3.5,2.5,0.46,0.67,0.23,0.257,0.245,0.26,0.283,0.271,0.388,0.399,0.413,0.39,0.388,0.334,0.348,0.346,0.374,0.361,0.337,0.449,0.462,0.444,0.487,0.292,0.298,0.329
24,7,1,4.1,0.1,0.69,0.59,0.362,0.356,0.369,0.375,0.388,0.378,0.506,0.537,0.536,0.511,0.459,0.488,0.426,0.452,0.47,0.469,0.439,0.57,0.559,0.53,0.61,0.388,0.411,0.405
25,1,0,4.5,3.8,0.64,0.64,0.398,0.406,0.395,0.379,0.363,0.396,0.595,0.6,0.566,0.58,0.508,0.509,0.5,0.506,0.495,0.491,0.501,0.647,0.63,0.653,0.65,0.468,0.43,0.404
26,2,0,1.2,3.4,0.69,0.67,0.308,0.327,0.283,0.333,0.326,0.317,0.463,0.472,0.496,0.461,0.397,0.423,0.411,0.412,0.364,0.43,0.395,0.507,0.503,0.565,0.503,0.357,0.364,0.332
27,3,0,-1.2,1.1,0.72,0.77,0.366,0.375,0.38,0.356,0.39,0.373,0.51,0.555,0.484,0.504,0.427,0.426,0.459,0.435,0.391,0.471,0.41,0.565,0.56,0.6,0.589,0.41,0.419,0.414
28,4,0,0.8,1.5,0.59,0.58,0.447,0.444,0.41,0.45,0.424,0.445,0.65,0.638,0.613,0.639,0.535,0.56,0.501,0.535,0.534,0.591,0.552,0.673,0.713,0.703,0.717,0.519,0.484,0.506
29,5,0,-3.9,0.1,0.58,0.73,0.443,0.439,0.402,0.424,0.412,0.39,0.572,0.62,0.589,0.6,0.538,0.453,0.513,0.526,0.514,0.476,0.508,0.63,0.688,0.636,0.688,0.509,0.466,0.457
30,6,1,0.8,1.8,0.72,0.62,0.241,0.256,0.272,0.287,0.275,0.218,0.371,0.356,0.379,0.354,0.34,0.297,0.296,0.321,0.303,0.305,0.346,0.383,0.425,0.411,0.437,0.29,0.283,0.286
31,7,1,-0.1,2.8,0.22,0.6,0.306,0.334,0.279,0.303,0.299,0.321,0.437,0.441,0.468,0.463,0.4,0.386,0.403,0.373,0.383,0.374,0.425,0.535,0.518,0.497,0.547,0.334,0.322,0.357
32,1,0,1.9,1.5,0.3,0.81,0.309,0.29,0.3,0.3,0.303,0.315,0.458,0.478,0.467,0.46,0.403,0.398,0.409,0.368,0.399,0.397,0.394,0.542,0.521,0.528,0.502,0.365,0.332,0.371
33,2,0,3.8,1.1,0.14,0.64,0.39,0.409,0.411,0.407,0.434,0.422,0.639,0.621,0.619,0.616,0.519,0.516,0.513,0.533,0.515,0.534,0.506,0.654,0.673,0.645,0.659,0.464,0.463,0.457
34,3,0,5.3,1.4,0.12,0.88,0.286,0.323,0.332,0.293,0.326,0.326,0.457,0.467,0.475,0.505,0.421,0.418,0.414,0.423,0.386,0.378,0.382,0.514,0.507,0.545,0.505,0.359,0.398,0.347
35,4,0,2.5,0.4,0.59,0.76,0.384,0.381,0.387,0.412,0.381,0.398,0.594,0.6,0.576,0.574,0.475,0.521,0.517,0.487,0.501,0.499,0.46,0.663,0.648,0.638,0.644,0.428,0.431,0.418
36,5,0,3.5,0.0,0.28,0.75,0.394,0.388,0.409,0.36,0.399,0.388,0.574,0.576,0.588,0.591,0.466,0.49,0.453,0.47,0.497,0.481,0.464,0.59,0.637,0.614,0.583,0.442,0.424,0.451
37,6,1,7.9,0.3,0.57,0.88,0.403,0.399,0.386,0.338,0.371,0.365,0.542,0.565,0.58,0.549,0.463,0.483,0.436,0.484,0.451,0.492,0.468,0.635,0.64,0.622,0.596,0.441,0.428,0.412
38,7,1,3.5,1.9,0.51,0.53,0.378,0.35,0.346,0.361,0.342,0.327,0.525,0.55,0.541,0.488,0.419,0.441,0.421,0.439,0.458,0.456,0.452,0.539,0.583,0.582,0.572,0.397,0.407,0.382
39,1,0,-0.4,0.6,0.63,0.85,0.368,0.346,0.361,0.369,0.371,0.35,0.546,0.539,0.571,0.551,0.469,0.459,0.484,0.46,0.436,0.453,0.435,0.607,0.596,0.648,0.562,0.433,0.424,0.422
40,2,0,-1.8,0.5,0.56,0.8,0.441,0.396,0.395,0.398,0.359,0.417,0.616,0.586,0.629,0.595,0.511,0.511,0.513,0.493,0.516,0.491,0.475,0.666,0.611,0.63,0.632,0.437,0.45,0.48
41,3,0,1.0,0.3,0.64,0.72,0.415,0.377,0.401,0.419,0.441,0.417,0.604,0.683,0.624,0.66,0.532,0.566,0.514,0.517,0.514,0.551,0.514,0.71,0.663,0.709,0.682,0.463,0.482,0.488
42,4,0,3.3,1.1,0.55,0.64,0.42,0.408,0.411,0.409,0.427,0.404,0.666,0.645,0.653,0.694,0.539,0.552,0.539,0.566,0.553,0.534,0.532,0.716,0.712,0.729,0.69,0.511,0.494,0.497
43,5,0,-1.4,1.1,0.27,0.71,0.428,0.468,0.475,0.412,0.41,0.442,0.644,0.621,0.647,0.605,0.552,0.533,0.582,0.562,0.525,0.573,0.553,0.712,0.698,0.685,0.697,0.468,0.482,0.513
44,6,1,3.7,0.0,0.42,0.61,0.325,0.371,0.337,0.355,0.38,0.336,0.519,0.522,0.521,0.541,0.441,0.42,0.431,0.457,0.441,0.456,0.433,0.566,0.577,0.579,0.573,0.415,0.418,0.375
45,7,1,9.6,2.7,0.31,0.78,0.43,0.321,0.367,0.375,0.362,0.367,0.529,0.553,0.546,0.576,0.476,0.46,0.465,0.442,0.45,0.431,0.468,0.637,0.633,0.592,0.606,0.406,0.443,0.415
46,1,0,2.8,0.2,0.54,0.83,0.363,0.309,0.373,0.347,0.357,0.337,0.565,0.55,0.55,0.509,0.476,0.452,0.422,0.45,0.419,0.404,0.445,0.526,0.551,0.547,0.565,0.376,0.393,0.387
47,2,0,3.6,1.0,0.25,0.76,0.285,0.278,0.263,0.272,0.294,0.259,0.409,0.405,0.407,0.417,0.346,0.312,0.346,0.314,0.294,0.354,0.342,0.435,0.434,0.43,0.421,0.27,0.284,0.287
48,3,0,-2.0,2.0,0.8,0.65,0.407,0.408,0.437,0.422,0.399,0.383,0.612,0.603,0.634,0.656,0.563,0.5,0.527,0.53,0.5,0.486,0.517,0.688,0.652,0.661,0.693,0.467,0.43,0.472
49,4,0,3.4,2.6,0.8,0.76,0.344,0.33,0.363,0.299,0.334,0.356,0.512,0.525,0.513,0.521,0.44,0.419,0.417,0.421,0.39,0.409,0.406,0.564,0.547,0.519,0.531,0.317,0.384,0.384
50,5,0,2.9,3.2,0.46,0.77,0.341,0.348,0.359,0.356,0.381,0.364,0.554,0.545,0.529,0.509,0.435,0.438,0.455,0.429,0.441,0.42,0.442,0.545,0.551,0.587,0.552,0.379,0.387,0.397
51,6,1,4.5,0.2,0.23,0.61,0.265,0.266,0.279,0.269,0.297,0.27,0.38,0.399,0.385,0.407,0.328,0.344,0.318,0.358,0.362,0.336,0.301,0.445,0.423,0.457,0.42,0.299,0.29,0.335
52,7,1,5.3,0.1,0.59,0.76,0.346,0.365,0.321,0.297,0.312,0.347,0.461,0.447,0.478,0.485,0.394,0.387,0.352,0.368,0.403,0.43,0.403,0.54,0.532,0.525,0.501,0.377,0.369,0.337
53,1,0,1.8,0.2,0.34,0.73,0.381,0.337,0.324,0.374,0.315,0.345,0.502,0.531,0.501,0.512,0.421,0.457,0.427,0.414,0.445,0.453,0.46,0.581,0.576,0.58,0.573,0.363,0.429,0.416
54,2,0,2.9,0.4,0.82,0.52,0.363,0.357,0.355,0.352,0.345,0.343,0.508,0.508,0.501,0.52,0.443,0.438,0.425,0.415,0.447,0.432,0.441,0.543,0.544,0.556,0.52,0.38,0.399,0.399
55,3,0,4.2,0.1,0.6,0.69,0.347,0.35,0.335,0.337,0.367,0.32,0.544,0.533,0.515,0.536,0.409,0.457,0.44,0.407,0.445,0.402,0.479,0.56,0.6,0.546,0.597,0.388,0.382,0.389
56,4,0,5.9,0.3,0.25,0.58,0.446,0.446,0.418,0.453,0.431,0.452,0.652,0.618,0.604,0.668,0.523,0.536,0.542,0.529,0.561,0.526,0.514,0.687,0.693,0.724,0.699,0.495,0.496,0.479
57,5,0,3.1,0.0,0.32,0.61,0.341,0.357,0.364,0.352,0.326,0.338,0.544,0.527,0.529,0.475,0.422,0.438,0.474,0.429,0.444,0.442,0.433,0.556,0.6,0.573,0.589,0.379,0.408,0.371
58,6,1,6.7,2.7,0.51,0.63,0.319,0.334,0.331,0.267,0.307,0.321,0.44,0.458,0.473,0.488,0.383,0.388,0.39,0.385,0.414,0.39,0.371,0.503,0.511,0.515,0.518,0.324,0.36,0.344
59,7,1,-0.6,0.2,0.28,0.61,0.242,0.241,0.257,0.233,0.239,0.219,0.38,0.343,0.362,0.372,0.29,0.318,0.332,0.298,0.322,0.309,0.289,0.392,0.389,0.415,0.399,0.247,0.265,0.271
60,1,0,2.6,0.1,0.74,0.73,0.428,0.418,0.438,0.432,0.423,0.473,0.675,0.632,0.671,0.666,0.53,0.555,0.597,0.558,0.555,0.54,0.589,0.705,0.721,0.724,0.732,0.518,0.512,0.499
61,2,0,6.1,2.1,0.81,0.94,0.409,0.361,0.391,0.356,0.357,0.356,0.538,0.54,0.574,0.545,0.457,0.448,0.45,0.453,0.444,0.446,0.478,0.6,0.599,0.598,0.643,0.445,0.427,0.424
62,3,0,4.8,2.7,0.28,0.59,0.433,0.404,0.399,0.422,0.384,0.421,0.591,0.614,0.625,0.602,0.526,0.522,0.547,0.507,0.488,0.491,0.544,0.681,0.7,0.689,0.691,0.464,0.433,0.448
63,4,0,3.7,0.3,0.65,0.63,0.454,0.427,0.438,0.466,0.44,0.477,0.659,0.668,0.658,0.65,0.552,0.574,0.543,0.533,0.549,0.528,0.562,0.712,0.728,0.7,0.728,0.522,0.476,0.479
64,5,0,8.0,1.0,0.39,0.76,0.364,0.323,0.373,0.318,0.309,0.393,0.558,0.524,0.52,0.553,0.399,0.461,0.463,0.428,0.45,0.44,0.431,0.619,0.572,0.574,0.55,0.405,0.384,0.377
65,6,1,7.3,1.0,0.18,0.72,0.428,0.427,0.473,0.461,0.428,0.473,0.64,0.639,0.697,0.667,0.528,0.556,0.555,0.538,0.537,0.523,0.563,0.718,0.746,0.719,0.71,0.516,0.517,0.512
66,7,1,7.7,0.1,0.2,0.73,0.34,0.327,0.308,0.367,0.318,0.326,0.475,0.493,0.519,0.495,0.438,0.417,0.416,0.428,0.409,0.433,0.415,0.514,0.518,0.525,0.541,0.378,0.397,0.346
67,1,0,2.2,0.4,0.63,0.76,0.27,0.255,0.278,0.253,0.275,0.282,0.419,0.431,0.42,0.442,0.331,0.345,0.359,0.334,0.333,0.355,0.337,0.474,0.479,0.448,0.479,0.309,0.355,0.309
68,2,0,6.5,2.1,0.62,0.68,0.305,0.298,0.287,0.296,0.311,0.311,0.508,0.459,0.439,0.466,0.413,0.398,0.412,0.4,0.375,0.402,0.339,0.536,0.484,0.493,0.515,0.391,0.346,0.36
69,3,0,10.1,0.8,0.7,0.72,0.442,0.464,0.46,0.452,0.449,0.452,0.683,0.671,0.668,0.705,0.588,0.587,0.575,0.591,0.561,0.559,0.595,0.761,0.758,0.714,0.756,0.501,0.492,0.504
70,4,0,5.2,1.4,0.2,0.65,0.277,0.313,0.357,0.287,0.287,0.299,0.469,0.471,0.465,0.467,0.393,0.414,0.367,0.376,0.387,0.426,0.355,0.494,0.502,0.501,0.464,0.345,0.354,0.33
71,5,0,4.9,0.2,0.53,0.77,0.364,0.374,0.362,0.343,0.374,0.389,0.586,0.618,0.549,0.546,0.47,0.473,0.492,0.44,0.465,0.46,0.464,0.593,0.615,0.627,0.643,0.431,0.419,0.419
72,6,1,9.9,0.3,0.58,0.66,0.399,0.353,0.316,0.328,0.361,0.323,0.476,0.493,0.505,0.523,0.418,0.435,0.39,0.418,0.417,0.437,0.406,0.547,0.497,0.574,0.523,0.393,0.376,0.371
73,7,1,7.3,0.9,0.78,0.82,0.222,0.279,0.254,0.254,0.266,0.274,0.398,0.385,0.38,0.396,0.314,0.384,0.281,0.308,0.301,0.321,0.325,0.417,0.403,0.41,0.434,0.283,0.275,0.233
74,1,0,7.8,0.7,0.65,0.76,0.332,0.293,0.292,0.309,0.343,0.287,0.452,0.434,0.449,0.464,0.39,0.375,0.374,0.4,0.367,0.313,0.371,0.477,0.514,0.513,0.51,0.326,0.363,0.361
75,2,0,8.0,0.7,0.37,0.69,0.27,0.24,0.245,0.279,0.254,0.248,0.388,0.43,0.402,0.391,0.285,0.317,0.282,0.341,0.338,0.323,0.29,0.421,0.422,0.437,0.408,0.302,0.309,0.33
76,3,0,7.3,0.3,0.49,0.87,0.444,0.446,0.483,0.449,0.472,0.486,0.712,0.705,0.685,0.69,0.604,0.537,0.566,0.587,0.616,0.606,0.597,0.764,0.771,0.751,0.764,0.553,0.506,0.505
77,4,0,5.9,2.7,0.69,0.73,0.229,0.257,0.229,0.25,0.228,0.234,0.338,0.384,0.35,0.351,0.302,0.283,0.32,0.311,0.279,0.269,0.298,0.378,0.423,0.373,0.382,0.281,0.264,0.26
78,5,0,7.6,4.9,0.58,0.7,0.431,0.42,0.439,0.454,0.412,0.473,0.628,0.659,0.651,0.66,0.526,0.541,0.557,0.557,0.55,0.568,0.538,0.674,0.69,0.68,0.695,0.476,0.48,0.506
79,6,1,3.9,1.3,0.77,0.85,0.317,0.278,0.323,0.263,0.281,0.251,0.443,0.446,0.421,0.426,0.345,0.371,0.372,0.358,0.353,0.363,0.332,0.467,0.434,0.446,0.443,0.32,0.322,0.303
80,7,1,6.5,3.0,0.75,0.61,0.296,0.26,0.259,0.271,0.251,0.242,0.393,0.386,0.374,0.41,0.313,0.35,0.36,0.314,0.308,0.368,0.342,0.461,0.458,0.429,0.432,0.299,0.318,0.32
81,1,0,7.3,0.1,0.76,0.79,0.275,0.239,0.245,0.193,0.254,0.269,0.328,0.355,0.366,0.372,0.319,0.344,0.29,0.309,0.316,0.322,0.322,0.388,0.407,0.402,0.413,0.3,0.296,0.281
82,2,0,13.4,1.0,0.15,0.73,0.26,0.245,0.246,0.279,0.257,0.272,0.349,0.372,0.359,0.332,0.305,0.308,0.287,0.319,0.282,0.294,0.314,0.447,0.404,0.404,0.429,0.288,0.255,0.274
83,3,0,8.9,0.4,0.67,0.7,0.31,0.301,0.321,0.342,0.345,0.32,0.462,0.468,0.491,0.505,0.416,0.421,0.43,0.409,0.399,0.403,0.402,0.527,0.523,0.531,0.546,0.386,0.354,0.388
84,4,0,8.3,0.7,0.17,0.85,0.35,0.358,0.301,0.354,0.312,0.355,0.529,0.512,0.525,0.498,0.403,0.408,0.385,0.43,0.408,0.408,0.391,0.53,0.509,0.559,0.52,0.381,0.37,0.366
85,5,0,5.6,0.2,0.27,0.69,0.449,0.48,0.499,0.485,0.485,0.451,0.725,0.703,0.698,0.702,0.605,0.589,0.61,0.564,0.596,0.56,0.586,0.806,0.791,0.736,0.778,0.548,0.545,0.496
86,6,1,6.5,0.0,0.21,0.83,0.271,0.234,0.23,0.261,0.287,0.233,0.35,0.352,0.417,0.367,0.302,0.29,0.331,0.303,0.323,0.322,0.317,0.421,0.387,0.398,0.412,0.29,0.303,0.3
87,7,1,10.7,2.0,0.61,0.77,0.266,0.242,0.255,0.265,0.298,0.249,0.415,0.382,0.416,0.366,0.311,0.332,0.301,0.329,0.316,0.329,0.298,0.426,0.462,0.438,0.429,0.309,0.286,0.259
88,1,0,10.0,0.8,0.41,0.79,0.426,0.4,0.45,0.446,0.433,0.399,0.653,0.636,0.644,0.615,0.51,0.531,0.513,0.542,0.535,0.564,0.5,0.694,0.68,0.663,0.71,0.469,0.489,0.488
89,2,0,10.3,1.7,0.66,0.86,0.369,0.309,0.334,0.353,0.298,0.35,0.49,0.5,0.519,0.499,0.422,0.415,0.413,0.412,0.394,0.393,0.411,0.526,0.529,0.547,0.507,0.347,0.354,0.344
90,3,0,13.9,0.5,0.2,0.77,0.434,0.428,0.407,0.45,0.441,0.469,0.673,0.661,0.628,0.683,0.538,0.556,0.514,0.527,0.571,0.541,0.531,0.74,0.75,0.699,0.736,0.491,0.467,0.497
91,4,0,8.6,1.3,0.69,0.56,0.289,0.298,0.311,0.321,0.297,0.32,0.436,0.45,0.428,0.468,0.341,0.385,0.335,0.361,0.389,0.361,0.391,0.48,0.46,0.482,0.473,0.325,0.361,0.377
92,5,0,10.5,0.9,0.23,0.75,0.432,0.449,0.479,0.47,0.47,0.448,0.693,0.711,0.698,0.691,0.565,0.649,0.611,0.577,0.602,0.604,0.571,0.759,0.807,0.749,0.761,0.544,0.52,0.488
93,6,1,14.5,0.8,0.63,0.76,0.453,0.51,0.453,0.456,0.422,0.468,0.657,0.672,0.658,0.685,0.573,0.574,0.583,0.545,0.558,0.582,0.568,0.737,0.738,0.742,0.699,0.541,0.493,0.519
94,7,1,12.0,1.3,0.46,0.75,0.37,0.39,0.377,0.375,0.378,0.374,0.574,0.567,0.591,0.564,0.459,0.454,0.475,0.49,0.483,0.481,0.468,0.625,0.641,0.627,0.613,0.397,0.402,0.438
95,1,0,11.0,0.2,0.24,0.79,0.336,0.306,0.361,0.363,0.351,0.324,0.514,0.524,0.497,0.511,0.455,0.412,0.387,0.428,0.401,0.397,0.436,0.525,0.536,0.575,0.54,0.386,0.381,0.362
96,2,0,10.3,0.9,0.58,0.65,0.438,0.459,0.454,0.474,0.426,0.444,0.679,0.653,0.678,0.72,0.573,0.603,0.594,0.599,0.571,0.556,0.607,0.747,0.701,0.726,0.773,0.526,0.512,0.506
97,3,0,8.7,0.1,0.02,0.63,0.426,0.406,0.405,0.43,0.443,0.423,0.639,0.617,0.636,0.642,0.535,0.535,0.564,0.504,0.554,0.547,0.554,0.67,0.702,0.722,0.709,0.484,0.477,0.513
98,4,0,8.4,1.8,0.53,0.72,0.364,0.297,0.354,0.374,0.334,0.334,0.478,0.512,0.54,0.523,0.41,0.417,0.424,0.414,0.429,0.402,0.421,0.568,0.591,0.533,0.552,0.374,0.407,0.396
99,5,0,15.2,2.0,0.87,0.68,0.33,0.29,0.291,0.289,0.284,0.307,0.413,0.432,0.439,0.475,0.381,0.367,0.363,0.354,0.329,0.312,0.357,0.487,0.471,0.457,0.433,0.326,0.316,0.341
100,6,1,8.7,1.4,0.39,0.68,0.259,0.244,0.289,0.267,0.287,0.281,0.41,0.404,0.428,0.43,0.356,0.329,0.31,0.359,0.326,0.355,0.32,0.426,0.476,0.463,0.472,0.324,0.319,0.306
101,7,1,12.7,0.2,0.74,0.64,0.411,0.449,0.454,0.43,0.44,0.45,0.63,0.619,0.637,0.61,0.574,0.563,0.556,0.525,0.542,0.504,0.563,0.704,0.692,0.7,0.707,0.486,0.464,0.488
102,1,0,10.2,1.1,0.66,0.71,0.391,0.392,0.366,0.417,0.396,0.409,0.6,0.592,0.594,0.598,0.48,0.502,0.493,0.511,0.494,0.526,0.48,0.621,0.656,0.647,0.634,0.406,0.472,0.422
103,2,0,10.3,1.5,0.36,0.63,0.39,0.383,0.382,0.418,0.359,0.396,0.564,0.559,0.591,0.597,0.498,0.471,0.481,0.512,0.486,0.484,0.476,0.671,0.609,0.637,0.638,0.454,0.47,0.413
104,3,0,13.3,0.6,0.65,0.67,0.434,0.452,0.455,0.376,0.423,0.416,0.629,0.657,0.593,0.625,0.559,0.545,0.571,0.49,0.549,0.567,0.526,0.687,0.662,0.703,0.724,0.457,0.491,0.481
105,4,0,12.7,0.1,0.26,0.85,0.255,0.287,0.273,0.246,0.286,0.248,0.405,0.402,0.362,0.387,0.333,0.303,0.298,0.298,0.335,0.306,0.294,0.386,0.421,0.411,0.402,0.296,0.294,0.303
106,5,0,12.0,0.2,0.57,0.74,0.41,0.421,0.427,0.448,0.405,0.406,0.667,0.616,0.642,0.616,0.533,0.509,0.551,0.544,0.512,0.509,0.503,0.693,0.691,0.701,0.67,0.459,0.463,0.478
107,6,1,11.7,0.8,0.44,0.61,0.234,0.278,0.274,0.268,0.269,0.292,0.428,0.385,0.41,0.417,0.317,0.334,0.381,0.316,0.346,0.351,0.334,0.457,0.422,0.446,0.452,0.282,0.296,0.308
108,7,1,12.3,1.1,0.59,0.63,0.41,0.454,0.417,0.444,0.446,0.433,0.639,0.634,0.641,0.641,0.57,0.507,0.534,0.517,0.545,0.551,0.523,0.691,0.678,0.684,0.691,0.487,0.491,0.462
109,1,0,12.0,0.2,0.93,0.75,0.239,0.251,0.254,0.25,0.231,0.262,0.369,0.426,0.382,0.385,0.339,0.348,0.337,0.302,0.313,0.309,0.309,0.418,0.417,0.377,0.443,0.28,0.284,0.283
110,2,0,13.3,0.1,0.7,0.72,0.421,0.386,0.396,0.42,0.389,0.412,0.644,0.591,0.606,0.619,0.517,0.486,0.525,0.532,0.503,0.504,0.469,0.635,0.629,0.659,0.613,0.442,0.446,0.415
111,3,0,10.2,1.0,0.98,0.55,0.261,0.241,0.242,0.242,0.266,0.25,0.39,0.379,0.402,0.382,0.286,0.299,0.306,0.314,0.306,0.298,0.32,0.422,0.399,0.405,0.373,0.263,0.275,0.299
112,4,0,13.9,1.3,0.5,0.62,0.304,0.308,0.295,0.308,0.297,0.277,0.443,0.454,0.422,0.422,0.386,0.375,0.35,0.328,0.368,0.411,0.36,0.483,0.486,0.44,0.45,0.351,0.296,0.333
113,5,0,12.3,2.8,0.51,0.62,0.381,0.394,0.361,0.362,0.411,0.364,0.593,0.559,0.549,0.552,0.443,0.458,0.48,0.476,0.449,0.44,0.461,0.596,0.608,0.583,0.639,0.411,0.424,0.444
114,6,1,12.3,1.1,0.69,0.66,0.387,0.378,0.36,0.363,0.36,0.36,0.513,0.545,0.542,0.538,0.451,0.441,0.452,0.448,0.453,0.469,0.486,0.562,0.602,0.603,0.593,0.419,0.411,0.424
115,7,1,14.4,0.5,0.84,0.85,0.461,0.469,0.436,0.445,0.436,0.435,0.662,0.66,0.684,0.656,0.574,0.551,0.566,0.527,0.528,0.531,0.557,0.706,0.748,0.745,0.719,0.507,0.542,0.512
116,1,0,15.3,0.1,0.53,0.64,0.291,0.269,0.286,0.288,0.299,0.277,0.472,0.465,0.44,0.44,0.359,0.361,0.374,0.341,0.337,0.367,0.408,0.453,0.458,0.502,0.48,0.311,0.3,0.335
